,name,handle,x,y,bestFitY,r2
237,Julian HILL,JulianHillMP,177543,51713,28745.978068673034,0.058261668430515
238,Mark BUTLER,Mark_Butler_MP,186813,46950,28896.00878281652,0.058261668430515
239,Stephen JONES,StephenJonesMP,187112,50102,28900.847961190728,0.058261668430515
240,Josh FRYDENBERG,JoshFrydenberg,195750,48928,29040.65004412184,0.058261668430515
241,Josh BURNS,joshburnsmp,199564,30855,29102.377891343334,0.058261668430515
242,Oliver YATES,_Oliver_Yates,205580,8890,29199.744102377554,0.058261668430515
243,Ged KEARNEY,gedkearney,207447,45601,29229.960644266,0.058261668430515
244,Craig KELLY,CraigKellyMP,229546,50763,29587.62286129479,0.058261668430515
245,Linda BURNEY,LindaBurneyMP,234771,44227,29672.187098770486,0.058261668430515
246,Tony BURKE,Tony_Burke,307160,43550,30843.769986163446,0.058261668430515
247,Andrew WILKIE,WilkieMP,322270,33761,31088.318431763022,0.058261668430515
248,Andrew LEIGH,ALeighMP,363713,38864,31759.05444969705,0.058261668430515
249,Tony ABBOTT,HonTonyAbbott,390314,35935,32189.57947957093,0.058261668430515
250,Jim CHALMERS,JEChalmers,470278,35156,33483.760280624825,0.058261668430515
251,Zali STEGGALL,zalisteggall,488940,40034,33785.79622316482,0.058261668430515
252,Mark DREYFUS,markdreyfusQCMP,516637,43364,34234.05951222977,0.058261668430515
253,Julian BURNSIDE,JulianBurnside,682381,21035,36916.55041676028,0.058261668430515
254,Adam BANDT,AdamBandt,962226,45876,41445.71386870026,0.058261668430515
255,Tanya PLIBERSEK,tanya_plibersek,1230063,46850,45780.53332760518,0.058261668430515
256,Scott MORRISON,ScottMorrisonMP,1848309,59895,55786.56233476302,0.058261668430515
257,Bill SHORTEN,billshortenmp,1915370,47487,56871.913976745345,0.058261668430515
258,Anthony ALBANESE,AlboMP,2960639,48728,73789.1151139672,0.058261668430515
