,name,handle,x,y,bestFitY,r2
148,Sue PENNICUIK,suepennicuik,845,13951,25096.63608969085,0.194752215670755
149,Georgina DOWNER,GeorginaDowner,881,42426,25265.61998458696,0.194752215670755
150,Justine KEAY,justinekeay,894,22434,25326.641946632775,0.194752215670755
151,Kristyn GLANVILLE,ikkyg,901,5647,25359.49992619591,0.194752215670755
152,Seamus LEE,seamus_polsci,938,4633,25533.177818172462,0.194752215670755
153,Tony BURKE,Tony_Burke,994,43550,25796.041654677516,0.194752215670755
154,Stella YEE,Stella4Menzies,1042,29539,26021.353514538994,0.194752215670755
155,Rob MITCHELL,RobMitchellMP,1045,37911,26035.435505780337,0.194752215670755
156,Maria VAMVAKINOU,MariaVamvakinou,1089,47115,26241.971377320024,0.194752215670755
157,Brian OWLER,BrianOwler,1146,32769,26509.529210905526,0.194752215670755
158,Ged KEARNEY,gedkearney,1243,45601,26964.846927708924,0.194752215670755
159,Susan TEMPLEMAN,stemplemanmp,1246,37106,26978.928918950267,0.194752215670755
160,Andrew LAMING,AndrewLamingMP,1274,47866,27110.360837202796,0.194752215670755
161,Nola MARINO,NolaMarinoMP,1279,47470,27133.830822605032,0.194752215670755
162,Pat CONROY,PatConroy1,1288,41126,27176.07679632906,0.194752215670755
163,Ganesh Sahadev LOKE,GaryLoke4Prmtta,1341,2186,27424.85864159277,0.194752215670755
164,Julia BANKS,juliahbanks,1347,13367,27453.022624075456,0.194752215670755
165,Peter DUTTON,PeterDutton_MP,1395,44528,27678.334483936935,0.194752215670755
166,Stephen JONES,StephenJonesMP,1451,50102,27941.19832044199,0.194752215670755
167,Melissa McINTOSH,MGrahMcIntosh,1456,45247,27964.66830584423,0.194752215670755
168,Ray KINGSTON,MalleeRay,1471,8621,28035.078262050938,0.194752215670755
169,Rebekha SHARKIE,MakeMayoMatter,1477,38525,28063.242244533623,0.194752215670755
170,Alex DYSON,AlexDyson,1495,10797,28147.734191981675,0.194752215670755
171,David GILLESPIE,DaveGillespieMP,1495,49934,28147.734191981675,0.194752215670755
172,Andrew GILES,andrewjgiles,1505,55467,28194.67416278615,0.194752215670755
173,Maurice BILLI,mauricebilli,1523,27150,28279.166110234204,0.194752215670755
