,name,handle,x,y,bestFitY,r2
85,Leigh FIRMAN,FirmanLeigh,12502,497,27166.798314942225,0.000247625162061
86,Fiona MARTIN,FionaMartinMP,12655,45288,27166.763125221183,0.000247625162061
87,Rob FORSTER,RobertForster3,14545,2495,27166.32842866715,0.000247625162061
88,Angela FULCO,AngeProgressive,14583,565,27166.319688736436,0.000247625162061
89,Innes LARKIN,innesforwright,15591,5165,27166.087850574284,0.000247625162061
90,Alicia PAYNE,AliciaPayneMP,19993,34989,27165.075398600286,0.000247625162061
91,Simon O'BRIEN,OBrienforCook,21308,21718,27164.772950997874,0.000247625162061
92,Michael McCORMACK,M_McCormackMP,21613,60493,27164.70280155397,0.000247625162061
93,Bert VAN MANEN,BertVanManen,21713,39819,27164.679801736296,0.000247625162061
94,Scott BUCHHOLZ,ScottBuchholzMP,24476,43522,27164.04431677397,0.000247625162061
95,David GILLESPIE,DaveGillespieMP,25312,49934,27163.852038298217,0.000247625162061
96,Judith CULLITY,JudithCullity,25810,10439,27163.737499206203,0.000247625162061
97,Steph HODGINS-MAY,stephhodginsmay,25992,23534,27163.695639538037,0.000247625162061
98,Darren CHESTER,DarrenChesterMP,26702,52202,27163.532340832553,0.000247625162061
99,Karen ANDREWS,karenandrewsmp,28578,44634,27163.100864252992,0.000247625162061
100,Sussan LEY,sussanley,28771,49316,27163.05647460488,0.000247625162061
101,Chris ATLEE,chris_atlee,31271,31177,27162.481479163038,0.000247625162061
102,Andrew SCHEBELLA,Effin_Q,36716,3385,27161.2291390907,0.000247625162061
103,Madeleine KING,MadeleineMHKing,38532,35875,27160.811462401747,0.000247625162061
104,Kevin ANDREWS,kevinandrewsmp,39218,50863,27160.653683652505,0.000247625162061
105,Kieran DRABSCH,FairGoForFarrer,39225,14236,27160.652073665267,0.000247625162061
106,Lucy WICKS,LucyWicksMP,42052,45011,27160.00186881963,0.000247625162061
107,Alan TUDGE,AlanTudgeMP,42331,54744,27159.937699328322,0.000247625162061
108,Yvonne LANGENBERG,Yvonne4NE,43309,12410,27159.71276111147,0.000247625162061
109,Julian LEESER,JulianLeeser,43504,53741,27159.667911467008,0.000247625162061
110,Angus TAYLOR,AngusTaylorMP,45672,54589,27159.16927541984,0.000247625162061
111,Sharon LOHSE,sharon_lohse,50113,17531,27158.147853516948,0.000247625162061
112,Matthew THOMPSON,MattThompson777,51553,17134,27157.816656142448,0.000247625162061
113,Robert OAKESHOTT,RobOakeshott1,53580,25847,27157.3504498382,0.000247625162061
114,Seamus LEE,seamus_polsci,56720,4633,27156.628255563242,0.000247625162061
115,Peter DUTTON,PeterDutton_MP,58911,44528,27156.12432955801,0.000247625162061
116,Russell ROBERTSON,RRobertson_ALP,59352,21120,27156.02290036207,0.000247625162061
117,Ken WYATT,KenWyattMP,59577,36735,27155.971150772304,0.000247625162061
118,Jason FALINSKI,JasonFalinskiMP,60090,52088,27155.853161707637,0.000247625162061
119,Jake HALL-EVANS,hallevansjake,60441,40039,27155.772432347603,0.000247625162061
120,Bronwyn CURRIE,CurrieBronwyn,67071,3607,27154.24754443583,0.000247625162061
121,Maria VAMVAKINOU,MariaVamvakinou,69049,47115,27153.792608042248,0.000247625162061
